"","featurekey","Module"
"773","TUBA1B",1
"774","UBE2D3",2
"775","B3GNT5",2
"776","IFIT1",5
"777","FNIP2",6
"778","TENT4B",2
"779","AKAP13",4
"780","VPS8",6
"781","C12orf75",8
"782","NPFFR1",7
"783","HSPA8",2
"784","SMCHD1",4
"785","PCSK5",4
"786","BASP1",4
"787","RANGAP1",2
"788","MX2",5
"789","VMP1",6
"790","NR1H3",6
"791","CIITA",8
"792","GABARAPL1",4
"793","STAT3",4
"794","TNF",10
"795","RASSF4",7
"796","AL031777.2",10
"797","TYMP",4
"798","DUSP2",2
"799","POU2F2",7
"800","MFSD1",2
"801","TIAM1",8
"802","SERF2",1
"803","C11orf65",11
"804","SUGT1",2
"805","FLT1",10
"806","SKA3",3
"807","PCNX1",4
"808","USP53",11
"809","PAQR3",11
"810","IL1RAP",7
"811","CARD11",8
"812","DLGAP5",3
"813","GAREM1",7
"814","ASPM",3
"815","IRAK2",10
"816","JUNB",10
"817","ARHGAP25",7
"818","POLB",2
"819","IL17RA",7
"820","CGAS",2
"821","CABLES1",6
"823","PREX1",8
"825","NCAPH",3
"827","CCDC170",5
"828","CHST15",9
"829","SPTLC2",7
"830","CYRIB",2
"831","TSHZ3",5
"832","KCNK13",7
"834","HCK",7
"835","CENPP",3
"836","PPARG",5
"837","XAF1",5
"838","AURKB",3
"839","APBA2",8
"840","RALA",6
"841","KIFC1",3
"844","TENM4",2
"845","DHRS9",8
"846","RIMS1",11
"847","CCDC168",8
"848","EML1",8
"850","ARHGAP5",5
"852","CHI3L1",7
"853","CDK1",3
"854","IKZF1",7
"855","SYT6",2
"856","MAP3K5",8
"857","TMEM156",8
"858","FCGR2B",5
"859","XPO1",2
"860","EPAS1",6
"861","TMEM140",9
"862","MAT2A",4
"863","ABCG1",6
"865","HSPA9",2
"866","BMP2K",8
"867","CCDC141",5
"868","MCL1",4
"869","KNTC1",3
"870","PLA2G7",5
"871","NCKAP5",7
"872","GRB10",6
"873","GAB1",8
"874","ZFAND5",6
"875","GLT1D1",8
"876","SNX29",8
"877","PAPSS2",5
"878","H2BC11",10
"879","SETBP1",7
"880","PAG1",7
"881","ACP5",6
"882","KIF14",3
"883","PLXND1",5
"884","ZMIZ1",6
"885","NUDC",2
"886","HLA-DPB1",1
"887","ST3GAL1",4
"888","SERINC5",5
"889","DGKD",2
"890","SSBP2",2
"891","EXO1",3
"892","ZNF367",3
